sample_name	lab	sex	pop	imputed	sample_string
NA20757	1	2.0	TSI	0	1.M_111124_1
NA20758	2	1.0	TSI	0	2.M_111215_8
NA20759	4	1.0	TSI	0	4.M_120208_3
NA20760	3	2.0	TSI	0	3.M_120202_5
NA20761	1	2.0	TSI	0	1.M_111124_7
NA20765	2	1.0	TSI	0	2.M_111215_5
NA20766	1	2.0	TSI	0	1.M_111124_4
NA20768	5	2.0	TSI	0	5.M_120131_1
NA20769	6	2.0	TSI	0	6.M_120119_5
NA20770	3	1.0	TSI	0	3.M_120202_1
NA20771	2	2.0	TSI	0	2.M_111215_7
NA20772	3	2.0	TSI	0	3.M_120223_6
NA20773	6	2.0	TSI	0	6.M_120119_4
NA20774	7	2.0	TSI	0	7.M_120219_1
NA20778	4	1.0	TSI	0	4.M_120208_1
NA20783	4	1.0	TSI	0	4.M_120208_6
NA20785	4	1.0	TSI	0	4.M_120208_1
NA20786	2	2.0	TSI	0	2.M_111215_8
NA20787	6	1.0	TSI	0	6.M_120119_3
NA20790	2	2.0	TSI	0	2.M_111215_6
NA20792	6	1.0	TSI	0	6.M_120119_6
NA20795	5	2.0	TSI	0	5.M_120131_1
NA20796	1	1.0	TSI	0	1.M_120209_2
NA20797	2	2.0	TSI	0	2.M_111215_6
NA20798	6	1.0	TSI	0	6.M_120119_6
NA20799	1	2.0	TSI	0	1.M_111124_3
NA20800	1	2.0	TSI	0	1.M_111124_5
NA20801	7	1.0	TSI	0	7.M_120219_5
NA20802	1	2.0	TSI	0	1.M_111124_7
NA20803	7	1.0	TSI	0	7.M_120219_1
NA20804	4	2.0	TSI	0	4.M_120208_1
NA20805	4	1.0	TSI	0	4.M_120208_7
NA20806	3	1.0	TSI	0	3.M_120202_5
NA20807	5	2.0	TSI	0	5.M_120131_1
NA20808	4	2.0	TSI	0	4.M_120208_6
NA20809	6	1.0	TSI	0	6.M_120119_2
NA20810	2	1.0	TSI	0	2.M_111215_7
NA20811	1	1.0	TSI	0	1.M_111124_5
NA20812	2	1.0	TSI	0	2.M_111216_6
NA20813	5	2.0	TSI	0	5.M_120131_1
NA20814	2	1.0	TSI	0	2.M_111215_6
NA20815	5	1.0	TSI	0	5.M_120131_5
NA20816	3	1.0	TSI	0	3.M_120202_7
NA20819	3	2.0	TSI	0	3.M_120202_2
NA20826	1	2.0	TSI	0	1.M_111124_1
NA20828	2	2.0	TSI	0	2.M_111216_8
