IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG00138	0.021286979602899745	0.08264715976161427	-0.0066002587577395746	0.030933930306660473	0.06058999339340938	0.006707947945882168	-0.019233681850672635	-0.037229024859743734	0.06927423261887328	0.05021051249837851	0.055067304934303014	-0.014338315395853302	0.010399906461855497	-0.017254224416924088	0.013582152744456007	0.12249652154445763	-0.016272024793951734	-0.04758919354600883	-0.020512082733561664	0.022494218606723723	-0.017462759905238164	-0.02937992676240276	-0.005294616548886147	-0.04103214722692257	0.012742821478175329	0.006365364418262211	-0.025395535118046833	0.018844494434257786	0.026209657604433167	-0.06242442739651016
HG00139	0.041786113065711984	-0.05217118376319675	0.06122302963190963	-0.10775839325350778	0.08096507180343258	-0.042761497713271264	0.005810267257215744	-0.09112225827063049	0.049752753189403684	0.004772590439408494	-0.04297174244924039	-0.061137548049931004	-0.043286580454734054	-0.14318633370971806	0.007196184538173087	0.0015811933066041167	0.024509901941127992	-0.03577676706838016	0.07003945879572145	0.014310227321980023	-0.033113164274898826	0.034277422784908654	0.02223239710863585	0.014789416348512507	0.006332532239131566	0.06365194699975993	0.0008675295391679452	-0.006389194377124319	0.0824900189887468	0.01597754209107142
HG00141	0.0002030621689308435	-0.007047553372750206	0.06570040534487324	-0.06587687805845496	0.10345803926923658	-0.037534490273541866	-0.0029854149346397	-0.13126020600262814	0.044270536051663964	0.05512182339126917	-0.04596280252391065	-0.05167443010374418	-0.056076092021667544	-0.10841138728184115	0.06350561082721111	-0.030950350188645403	-0.003510998278530872	0.009332485630722559	0.024759617409519617	0.013307168745628132	-0.05665038877416902	-0.02152585473245786	0.04019429824230362	-0.01568159276958144	0.013824503951416808	0.014506165398946762	0.014482286840129895	-0.024437722221200688	0.0837005755192326	0.04211555217886099
HG00142	0.03588619301563785	0.03956257514697131	-0.038405765507926716	-0.07489149975729206	-0.019309759613240704	-0.009682906037447123	0.04860406195109899	-0.02613896918821282	-0.026670001121011557	0.10670042155184738	-0.04002107984314249	-0.002585265518873221	-0.04249577399197772	0.013266686339020834	0.015403687046502312	-0.09151501646603656	-0.0823549839965401	-0.018118943181405247	-0.03324902172119609	-0.009955343703712434	0.07076639372333003	-0.03805138454940288	0.0027319107677664656	-0.04776432302576285	-0.0067615705360630635	0.05418751974936731	0.08533061111825749	-0.03330257066465814	0.02379517797888786	-0.09129120653531629
HG00143	-0.01852552351323362	0.009141540792224453	0.05820325160165775	-0.06687448789045425	0.032948071882003736	0.07454394439575047	-0.03410468948066281	-0.01590369484610791	0.021889314854957414	0.010914092295788375	0.001273469009989552	-0.052690466170837856	0.049834065616728714	0.007306640124388243	0.0367350563075939	0.026121250704967475	0.04324294501528379	-0.016596734035880363	0.04986103625605425	0.004018308667516278	0.04558539634770015	-0.012536833717913283	-0.04215451353277365	-0.03416109352505268	0.00799486771496367	0.006022847852251154	0.011703365869503594	-0.032373696829380086	0.002356262247041864	0.020367207388891213
HG00146	0.00902818870472599	-0.017880858965470748	-0.19149948374930445	0.03413477655200778	0.05266035872821575	-0.026729669124291946	0.05254160783862583	-0.0993700299826728	-0.0038658808478857793	0.01206488308842579	0.023766468658710814	-0.060971828865259724	-0.058986815260836815	-0.00347284246002226	0.006528753800441256	-0.0740356727887048	0.11533470724205813	0.09573565979501279	0.00843673965965757	0.06342619083057302	-0.03081360235265922	-0.04130120086095657	0.022827481159442185	-0.06665214847113458	0.014542727906691633	-0.0036098309781121022	-0.06490544234634091	-0.044484450774343265	-0.03693029344398567	0.17836092454118754
HG00148	0.04037986570073809	0.029479556828351954	-0.003492685285923835	0.031129311759415725	0.1021459516981946	-0.04743008810301754	0.038672989108997524	-0.04987753358220892	0.09000994308672992	-0.0030331211280944037	-0.011439837233040573	0.05530946091936094	0.007427608953103629	-0.05684899545283772	0.048083605194633894	0.03194748732895664	-0.022847704179558306	0.05217694909918395	0.0631216182050007	0.12433425654201459	0.00214750732026091	-0.03348380655741439	0.023431148130673478	0.03508449469661155	-0.037914417938949875	0.0023628323940939507	-0.0284725431204544	-0.026222151505302688	0.0044650492937320764	-0.0113890214681527
HG00149	-0.020049578157063628	-0.07444214888831995	-0.011937897918461476	-0.0439645179120488	-0.04831909623980713	0.05727346177286448	0.1024936683911939	-0.036812578710150805	0.005283093303207102	-0.03736925571067223	0.007776189558083416	0.022855477012108005	0.060229885509017624	-0.02829596397985734	0.06907462462317907	0.03526015968029909	0.00044837742280451554	-0.015811820915548294	-0.023144945619393995	0.013724513357957107	-0.05398559790502478	0.005599331485787977	-0.047839889981813044	0.03900890505009934	0.0041434389225389855	-0.07088173122127076	-0.014280869511333422	-0.02925601772343738	0.002712380635765038	-0.05513655286764267
HG00150	-0.008075195678372938	0.07427757520191804	0.07088560353608671	-0.06471662073608775	-0.004562094461583427	0.06318577168211113	0.0007605611653031712	-0.008317292223221681	-0.06606218911156778	0.04170109676835831	-0.007332532852314822	-0.010477665981506403	-0.010590361332118497	-0.011954325425086869	0.03276417340018258	-0.003324566481761997	0.005146657564849156	-0.005976220510150837	0.08956337076106417	0.05896162523314908	0.023664150105898573	0.04106649463982603	0.02951018358204527	0.04710631889937149	0.009393185333085249	0.025652388338622604	-0.026144352441312493	-0.07261387350646363	-0.005493497499806203	-0.026928179449967567
HG00151	-0.05758820411367033	0.031055802719551155	0.03434229666329111	0.0327275729342414	0.07394298234672124	-0.060438389992315655	0.03524468433108579	0.03945681671237179	0.03948652999845177	-0.03536081844237522	0.03751233336923108	-0.006158267412166796	0.07665217359572932	-0.05999916968221679	-0.06785177029068833	-0.003638230773240033	-0.004479992415644054	0.0837250326223061	-0.024247874962496002	-0.008354882805537102	0.02262313303685751	0.005190857561119497	-0.03302041050816109	0.06820129601000208	0.02823566938408792	-0.046677096984397065	-0.020598847229774453	-0.05689201911321281	0.015949098625353427	-0.0005702553619132619
